Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
De 16 a 19 años;Hombres;02 Aragón;2011T3;4,3
De 16 a 19 años;Hombres;02 Aragón;2011T2;4,2
De 16 a 19 años;Hombres;02 Aragón;2011T1;1,6
De 16 a 19 años;Hombres;02 Aragón;2010T4;2,1
De 16 a 19 años;Hombres;02 Aragón;2010T3;2,1
De 16 a 19 años;Hombres;02 Aragón;2010T2;2,8
De 16 a 19 años;Hombres;02 Aragón;2010T1;2,8
De 16 a 19 años;Hombres;03 Asturias, Principado de;2021T4;0,3
De 16 a 19 años;Hombres;03 Asturias, Principado de;2021T3;0,2
De 16 a 19 años;Hombres;03 Asturias, Principado de;2021T2;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2021T1;0,2
De 16 a 19 años;Hombres;03 Asturias, Principado de;2020T4;0,6
De 16 a 19 años;Hombres;03 Asturias, Principado de;2020T3;0,2
De 16 a 19 años;Hombres;03 Asturias, Principado de;2020T2;0,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2020T1;0,2
De 16 a 19 años;Hombres;03 Asturias, Principado de;2019T4;0,3
De 16 a 19 años;Hombres;03 Asturias, Principado de;2019T3;0,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2019T2;0,9
De 16 a 19 años;Hombres;03 Asturias, Principado de;2019T1;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2018T4;0,8
De 16 a 19 años;Hombres;03 Asturias, Principado de;2018T3;0,8
De 16 a 19 años;Hombres;03 Asturias, Principado de;2018T2;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2018T1;0,9
De 16 a 19 años;Hombres;03 Asturias, Principado de;2017T4;1,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2017T3;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2017T2;0,8
De 16 a 19 años;Hombres;03 Asturias, Principado de;2017T1;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2016T4;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2016T3;1,2
De 16 a 19 años;Hombres;03 Asturias, Principado de;2016T2;1,0
De 16 a 19 años;Hombres;03 Asturias, Principado de;2016T1;0,8
De 16 a 19 años;Hombres;03 Asturias, Principado de;2015T4;0,6
De 16 a 19 años;Hombres;03 Asturias, Principado de;2015T3;0,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2015T2;1,1
De 16 a 19 años;Hombres;03 Asturias, Principado de;2015T1;0,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2014T4;1,0
De 16 a 19 años;Hombres;03 Asturias, Principado de;2014T3;0,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2014T2;0,6
De 16 a 19 años;Hombres;03 Asturias, Principado de;2014T1;0,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2013T4;1,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2013T3;1,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2013T2;1,9
De 16 a 19 años;Hombres;03 Asturias, Principado de;2013T1;1,3
De 16 a 19 años;Hombres;03 Asturias, Principado de;2012T4;0,3
De 16 a 19 años;Hombres;03 Asturias, Principado de;2012T3;0,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2012T2;0,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2012T1;0,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2011T4;1,4
De 16 a 19 años;Hombres;03 Asturias, Principado de;2011T3;1,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2011T2;1,5
De 16 a 19 años;Hombres;03 Asturias, Principado de;2011T1;0,9
De 16 a 19 años;Hombres;03 Asturias, Principado de;2010T4;1,7
De 16 a 19 años;Hombres;03 Asturias, Principado de;2010T3;1,3
De 16 a 19 años;Hombres;03 Asturias, Principado de;2010T2;1,6
De 16 a 19 años;Hombres;03 Asturias, Principado de;2010T1;1,5
De 16 a 19 años;Hombres;04 Balears, Illes;2021T4;2,1
De 16 a 19 años;Hombres;04 Balears, Illes;2021T3;1,6
De 16 a 19 años;Hombres;04 Balears, Illes;2021T2;2,5
De 16 a 19 años;Hombres;04 Balears, Illes;2021T1;1,1
De 16 a 19 años;Hombres;04 Balears, Illes;2020T4;4,4
De 16 a 19 años;Hombres;04 Balears, Illes;2020T3;4,2
De 16 a 19 años;Hombres;04 Balears, Illes;2020T2;2,0
De 16 a 19 años;Hombres;04 Balears, Illes;2020T1;1,9
De 16 a 19 años;Hombres;04 Balears, Illes;2019T4;1,2
De 16 a 19 años;Hombres;04 Balears, Illes;2019T3;2,2
De 16 a 19 años;Hombres;04 Balears, Illes;2019T2;2,1
De 16 a 19 años;Hombres;04 Balears, Illes;2019T1;2,3
De 16 a 19 años;Hombres;04 Balears, Illes;2018T4;1,7
De 16 a 19 años;Hombres;04 Balears, Illes;2018T3;2,0
De 16 a 19 años;Hombres;04 Balears, Illes;2018T2;3,4
De 16 a 19 años;Hombres;04 Balears, Illes;2018T1;2,6
De 16 a 19 años;Hombres;04 Balears, Illes;2017T4;2,3
De 16 a 19 años;Hombres;04 Balears, Illes;2017T3;3,0
De 16 a 19 años;Hombres;04 Balears, Illes;2017T2;3,4
De 16 a 19 años;Hombres;04 Balears, Illes;2017T1;3,2
De 16 a 19 años;Hombres;04 Balears, Illes;2016T4;3,1
De 16 a 19 años;Hombres;04 Balears, Illes;2016T3;1,9
De 16 a 19 años;Hombres;04 Balears, Illes;2016T2;1,8
De 16 a 19 años;Hombres;04 Balears, Illes;2016T1;3,3
De 16 a 19 años;Hombres;04 Balears, Illes;2015T4;4,5
De 16 a 19 años;Hombres;04 Balears, Illes;2015T3;3,6
De 16 a 19 años;Hombres;04 Balears, Illes;2015T2;2,9
De 16 a 19 años;Hombres;04 Balears, Illes;2015T1;2,6
De 16 a 19 años;Hombres;04 Balears, Illes;2014T4;3,4
De 16 a 19 años;Hombres;04 Balears, Illes;2014T3;3,0
De 16 a 19 años;Hombres;04 Balears, Illes;2014T2;1,9
De 16 a 19 años;Hombres;04 Balears, Illes;2014T1;2,9
De 16 a 19 años;Hombres;04 Balears, Illes;2013T4;2,2
De 16 a 19 años;Hombres;04 Balears, Illes;2013T3;3,0
De 16 a 19 años;Hombres;04 Balears, Illes;2013T2;2,2
De 16 a 19 años;Hombres;04 Balears, Illes;2013T1;2,8
De 16 a 19 años;Hombres;04 Balears, Illes;2012T4;2,9
De 16 a 19 años;Hombres;04 Balears, Illes;2012T3;4,2
De 16 a 19 años;Hombres;04 Balears, Illes;2012T2;3,4
De 16 a 19 años;Hombres;04 Balears, Illes;2012T1;2,8
De 16 a 19 años;Hombres;04 Balears, Illes;2011T4;4,3
De 16 a 19 años;Hombres;04 Balears, Illes;2011T3;3,7
De 16 a 19 años;Hombres;04 Balears, Illes;2011T2;3,1
De 16 a 19 años;Hombres;04 Balears, Illes;2011T1;3,6
De 16 a 19 años;Hombres;04 Balears, Illes;2010T4;3,0
De 16 a 19 años;Hombres;04 Balears, Illes;2010T3;4,5
De 16 a 19 años;Hombres;04 Balears, Illes;2010T2;6,0
De 16 a 19 años;Hombres;04 Balears, Illes;2010T1;6,4
De 16 a 19 años;Hombres;05 Canarias;2021T4;2,0
De 16 a 19 años;Hombres;05 Canarias;2021T3;5,9
De 16 a 19 años;Hombres;05 Canarias;2021T2;4,9
De 16 a 19 años;Hombres;05 Canarias;2021T1;4,1
De 16 a 19 años;Hombres;05 Canarias;2020T4;3,3
De 16 a 19 años;Hombres;05 Canarias;2020T3;3,9
De 16 a 19 años;Hombres;05 Canarias;2020T2;2,4
De 16 a 19 años;Hombres;05 Canarias;2020T1;6,0
De 16 a 19 años;Hombres;05 Canarias;2019T4;4,8
De 16 a 19 años;Hombres;05 Canarias;2019T3;5,3
De 16 a 19 años;Hombres;05 Canarias;2019T2;4,7
De 16 a 19 años;Hombres;05 Canarias;2019T1;3,5
De 16 a 19 años;Hombres;05 Canarias;2018T4;1,9
De 16 a 19 años;Hombres;05 Canarias;2018T3;3,3
De 16 a 19 años;Hombres;05 Canarias;2018T2;2,7
De 16 a 19 años;Hombres;05 Canarias;2018T1;3,9
De 16 a 19 años;Hombres;05 Canarias;2017T4;2,9
De 16 a 19 años;Hombres;05 Canarias;2017T3;4,6
De 16 a 19 años;Hombres;05 Canarias;2017T2;4,9
De 16 a 19 años;Hombres;05 Canarias;2017T1;2,7
De 16 a 19 años;Hombres;05 Canarias;2016T4;3,0
De 16 a 19 años;Hombres;05 Canarias;2016T3;4,4
De 16 a 19 años;Hombres;05 Canarias;2016T2;3,8
De 16 a 19 años;Hombres;05 Canarias;2016T1;3,0
De 16 a 19 años;Hombres;05 Canarias;2015T4;2,5
De 16 a 19 años;Hombres;05 Canarias;2015T3;5,1
De 16 a 19 años;Hombres;05 Canarias;2015T2;4,7
De 16 a 19 años;Hombres;05 Canarias;2015T1;4,1
De 16 a 19 años;Hombres;05 Canarias;2014T4;1,9
De 16 a 19 años;Hombres;05 Canarias;2014T3;4,7
De 16 a 19 años;Hombres;05 Canarias;2014T2;3,6
De 16 a 19 años;Hombres;05 Canarias;2014T1;3,1
De 16 a 19 años;Hombres;05 Canarias;2013T4;4,9
De 16 a 19 años;Hombres;05 Canarias;2013T3;7,5
De 16 a 19 años;Hombres;05 Canarias;2013T2;4,7
De 16 a 19 años;Hombres;05 Canarias;2013T1;6,4
De 16 a 19 años;Hombres;05 Canarias;2012T4;5,3
De 16 a 19 años;Hombres;05 Canarias;2012T3;5,9
De 16 a 19 años;Hombres;05 Canarias;2012T2;6,5
De 16 a 19 años;Hombres;05 Canarias;2012T1;5,0
De 16 a 19 años;Hombres;05 Canarias;2011T4;5,3
De 16 a 19 años;Hombres;05 Canarias;2011T3;6,7
De 16 a 19 años;Hombres;05 Canarias;2011T2;5,9
De 16 a 19 años;Hombres;05 Canarias;2011T1;5,8
De 16 a 19 años;Hombres;05 Canarias;2010T4;5,9
De 16 a 19 años;Hombres;05 Canarias;2010T3;5,3
De 16 a 19 años;Hombres;05 Canarias;2010T2;10,5
De 16 a 19 años;Hombres;05 Canarias;2010T1;8,6
De 16 a 19 años;Hombres;06 Cantabria;2021T4;0,3
De 16 a 19 años;Hombres;06 Cantabria;2021T3;0,7
De 16 a 19 años;Hombres;06 Cantabria;2021T2;0,2
De 16 a 19 años;Hombres;06 Cantabria;2021T1;..
De 16 a 19 años;Hombres;06 Cantabria;2020T4;0,1
De 16 a 19 años;Hombres;06 Cantabria;2020T3;0,3
De 16 a 19 años;Hombres;06 Cantabria;2020T2;0,7
De 16 a 19 años;Hombres;06 Cantabria;2020T1;..
De 16 a 19 años;Hombres;06 Cantabria;2019T4;0,4
De 16 a 19 años;Hombres;06 Cantabria;2019T3;0,1
De 16 a 19 años;Hombres;06 Cantabria;2019T2;..
De 16 a 19 años;Hombres;06 Cantabria;2019T1;0,5
De 16 a 19 años;Hombres;06 Cantabria;2018T4;0,2
De 16 a 19 años;Hombres;06 Cantabria;2018T3;..
De 16 a 19 años;Hombres;06 Cantabria;2018T2;0,8
De 16 a 19 años;Hombres;06 Cantabria;2018T1;0,2
De 16 a 19 años;Hombres;06 Cantabria;2017T4;0,4
De 16 a 19 años;Hombres;06 Cantabria;2017T3;0,2
De 16 a 19 años;Hombres;06 Cantabria;2017T2;0,3
De 16 a 19 años;Hombres;06 Cantabria;2017T1;0,4
De 16 a 19 años;Hombres;06 Cantabria;2016T4;0,2
De 16 a 19 años;Hombres;06 Cantabria;2016T3;0,1
De 16 a 19 años;Hombres;06 Cantabria;2016T2;0,5
De 16 a 19 años;Hombres;06 Cantabria;2016T1;0,3
De 16 a 19 años;Hombres;06 Cantabria;2015T4;0,2
De 16 a 19 años;Hombres;06 Cantabria;2015T3;..
De 16 a 19 años;Hombres;06 Cantabria;2015T2;0,9
De 16 a 19 años;Hombres;06 Cantabria;2015T1;0,6
De 16 a 19 años;Hombres;06 Cantabria;2014T4;0,4
De 16 a 19 años;Hombres;06 Cantabria;2014T3;0,3
De 16 a 19 años;Hombres;06 Cantabria;2014T2;0,4
De 16 a 19 años;Hombres;06 Cantabria;2014T1;0,1
De 16 a 19 años;Hombres;06 Cantabria;2013T4;0,4
De 16 a 19 años;Hombres;06 Cantabria;2013T3;0,1
De 16 a 19 años;Hombres;06 Cantabria;2013T2;0,6
De 16 a 19 años;Hombres;06 Cantabria;2013T1;0,4
De 16 a 19 años;Hombres;06 Cantabria;2012T4;0,3
De 16 a 19 años;Hombres;06 Cantabria;2012T3;0,3
De 16 a 19 años;Hombres;06 Cantabria;2012T2;0,4
De 16 a 19 años;Hombres;06 Cantabria;2012T1;0,6
De 16 a 19 años;Hombres;06 Cantabria;2011T4;0,6
De 16 a 19 años;Hombres;06 Cantabria;2011T3;0,8
De 16 a 19 años;Hombres;06 Cantabria;2011T2;0,7
De 16 a 19 años;Hombres;06 Cantabria;2011T1;1,0
De 16 a 19 años;Hombres;06 Cantabria;2010T4;0,4
De 16 a 19 años;Hombres;06 Cantabria;2010T3;0,3
De 16 a 19 años;Hombres;06 Cantabria;2010T2;0,7
De 16 a 19 años;Hombres;06 Cantabria;2010T1;1,0
De 16 a 19 años;Hombres;07 Castilla y León;2021T4;1,7
De 16 a 19 años;Hombres;07 Castilla y León;2021T3;2,1
De 16 a 19 años;Hombres;07 Castilla y León;2021T2;2,8
De 16 a 19 años;Hombres;07 Castilla y León;2021T1;1,4
De 16 a 19 años;Hombres;07 Castilla y León;2020T4;2,1
De 16 a 19 años;Hombres;07 Castilla y León;2020T3;2,1
De 16 a 19 años;Hombres;07 Castilla y León;2020T2;2,4
De 16 a 19 años;Hombres;07 Castilla y León;2020T1;3,5
De 16 a 19 años;Hombres;07 Castilla y León;2019T4;3,2
De 16 a 19 años;Hombres;07 Castilla y León;2019T3;3,2
De 16 a 19 años;Hombres;07 Castilla y León;2019T2;2,7
De 16 a 19 años;Hombres;07 Castilla y León;2019T1;1,8
De 16 a 19 años;Hombres;07 Castilla y León;2018T4;1,8
De 16 a 19 años;Hombres;07 Castilla y León;2018T3;3,3
De 16 a 19 años;Hombres;07 Castilla y León;2018T2;1,9
De 16 a 19 años;Hombres;07 Castilla y León;2018T1;2,5
De 16 a 19 años;Hombres;07 Castilla y León;2017T4;2,6
De 16 a 19 años;Hombres;07 Castilla y León;2017T3;3,8
De 16 a 19 años;Hombres;07 Castilla y León;2017T2;4,7
De 16 a 19 años;Hombres;07 Castilla y León;2017T1;2,6
De 16 a 19 años;Hombres;07 Castilla y León;2016T4;3,2
De 16 a 19 años;Hombres;07 Castilla y León;2016T3;2,7
De 16 a 19 años;Hombres;07 Castilla y León;2016T2;4,1
De 16 a 19 años;Hombres;07 Castilla y León;2016T1;1,8
De 16 a 19 años;Hombres;07 Castilla y León;2015T4;2,1
De 16 a 19 años;Hombres;07 Castilla y León;2015T3;4,0
De 16 a 19 años;Hombres;07 Castilla y León;2015T2;3,5
De 16 a 19 años;Hombres;07 Castilla y León;2015T1;4,7
De 16 a 19 años;Hombres;07 Castilla y León;2014T4;4,1
De 16 a 19 años;Hombres;07 Castilla y León;2014T3;3,7
De 16 a 19 años;Hombres;07 Castilla y León;2014T2;4,2
De 16 a 19 años;Hombres;07 Castilla y León;2014T1;3,9
De 16 a 19 años;Hombres;07 Castilla y León;2013T4;4,7
De 16 a 19 años;Hombres;07 Castilla y León;2013T3;4,4
De 16 a 19 años;Hombres;07 Castilla y León;2013T2;3,6
De 16 a 19 años;Hombres;07 Castilla y León;2013T1;4,5
De 16 a 19 años;Hombres;07 Castilla y León;2012T4;4,7
De 16 a 19 años;Hombres;07 Castilla y León;2012T3;5,5
De 16 a 19 años;Hombres;07 Castilla y León;2012T2;5,5
De 16 a 19 años;Hombres;07 Castilla y León;2012T1;5,0
De 16 a 19 años;Hombres;07 Castilla y León;2011T4;3,7
De 16 a 19 años;Hombres;07 Castilla y León;2011T3;6,8
De 16 a 19 años;Hombres;07 Castilla y León;2011T2;4,4
De 16 a 19 años;Hombres;07 Castilla y León;2011T1;4,0
De 16 a 19 años;Hombres;07 Castilla y León;2010T4;4,1
De 16 a 19 años;Hombres;07 Castilla y León;2010T3;5,5
De 16 a 19 años;Hombres;07 Castilla y León;2010T2;4,2
De 16 a 19 años;Hombres;07 Castilla y León;2010T1;4,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2021T4;2,3
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2021T3;3,8
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2021T2;5,4
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2021T1;2,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2020T4;2,1
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2020T3;3,2
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2020T2;3,3
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2020T1;3,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2019T4;3,2
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2019T3;5,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2019T2;4,3
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2019T1;4,4
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2018T4;4,1
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2018T3;6,4
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2018T2;6,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2018T1;5,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2017T4;4,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2017T3;3,8
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2017T2;3,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2017T1;3,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2016T4;3,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2016T3;3,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2016T2;3,4
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2016T1;3,5
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2015T4;4,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2015T3;4,1
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2015T2;4,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2015T1;6,2
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2014T4;5,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2014T3;7,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2014T2;7,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2014T1;6,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2013T4;6,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2013T3;6,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2013T2;6,8
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2013T1;6,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2012T4;6,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2012T3;7,2
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2012T2;7,2
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2012T1;5,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2011T4;4,9
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2011T3;4,4
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2011T2;6,6
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2011T1;6,5
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2010T4;7,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2010T3;6,0
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2010T2;7,7
De 16 a 19 años;Hombres;08 Castilla - La Mancha;2010T1;5,9
De 16 a 19 años;Hombres;09 Cataluña;2021T4;12,6
De 16 a 19 años;Hombres;09 Cataluña;2021T3;13,7
De 16 a 19 años;Hombres;09 Cataluña;2021T2;15,1
De 16 a 19 años;Hombres;09 Cataluña;2021T1;11,0
De 16 a 19 años;Hombres;09 Cataluña;2020T4;15,8
De 16 a 19 años;Hombres;09 Cataluña;2020T3;17,1
De 16 a 19 años;Hombres;09 Cataluña;2020T2;9,6
De 16 a 19 años;Hombres;09 Cataluña;2020T1;13,2
De 16 a 19 años;Hombres;09 Cataluña;2019T4;11,6
De 16 a 19 años;Hombres;09 Cataluña;2019T3;10,9
De 16 a 19 años;Hombres;09 Cataluña;2019T2;11,0
De 16 a 19 años;Hombres;09 Cataluña;2019T1;13,4
De 16 a 19 años;Hombres;09 Cataluña;2018T4;11,5
De 16 a 19 años;Hombres;09 Cataluña;2018T3;16,3
De 16 a 19 años;Hombres;09 Cataluña;2018T2;15,4
De 16 a 19 años;Hombres;09 Cataluña;2018T1;13,3
De 16 a 19 años;Hombres;09 Cataluña;2017T4;13,1
De 16 a 19 años;Hombres;09 Cataluña;2017T3;16,6
De 16 a 19 años;Hombres;09 Cataluña;2017T2;10,8
De 16 a 19 años;Hombres;09 Cataluña;2017T1;13,6
De 16 a 19 años;Hombres;09 Cataluña;2016T4;14,5
De 16 a 19 años;Hombres;09 Cataluña;2016T3;11,0
De 16 a 19 años;Hombres;09 Cataluña;2016T2;13,5
De 16 a 19 años;Hombres;09 Cataluña;2016T1;14,9
De 16 a 19 años;Hombres;09 Cataluña;2015T4;17,3
De 16 a 19 años;Hombres;09 Cataluña;2015T3;21,4
De 16 a 19 años;Hombres;09 Cataluña;2015T2;14,9
De 16 a 19 años;Hombres;09 Cataluña;2015T1;21,7
De 16 a 19 años;Hombres;09 Cataluña;2014T4;17,7
De 16 a 19 años;Hombres;09 Cataluña;2014T3;16,0
De 16 a 19 años;Hombres;09 Cataluña;2014T2;18,4
De 16 a 19 años;Hombres;09 Cataluña;2014T1;20,7
De 16 a 19 años;Hombres;09 Cataluña;2013T4;22,2
De 16 a 19 años;Hombres;09 Cataluña;2013T3;25,3
De 16 a 19 años;Hombres;09 Cataluña;2013T2;25,1
De 16 a 19 años;Hombres;09 Cataluña;2013T1;27,6
